1:0.0, F4, F4, F3, F3
1:1.5, G4, G4, G3, G3
1:1.75, F4, F4, F3, F3
1:2.0, E4, E4, E3, E3
1:2.5, F4, F4, F3, F3
2:0.0, C4, C4, C3, C3
2:1.0, Rest, Rest, Rest, Rest
2:2.0, Rest, Rest, Rest, Rest
3:0.0, F4, F4, F3, F3
3:1.5, G4, G4, G3, G3
3:1.75, F4, F4, F3, F3
3:2.0, E4, E4, E3, E3
3:2.5, F4, F4, F3, F3
4:0.0, D4, D4, D3, D3
4:1.0, Rest, Rest, Rest, Rest
4:2.0, Rest, Rest, Rest, Rest
5:0.0, F5, B-4, D4, D3
5:1.5, G5, NaN, NaN, NaN
5:1.75, F5, NaN, NaN, NaN
5:2.0, E5, NaN, NaN, NaN
5:2.5, F5, NaN, NaN, NaN
6:0.0, G5, NaN, C4, E3
6:2.0, B-4, G4, NaN, NaN
7:0.0, A4, F4, C4, F3
7:1.0, NaN, NaN, D4, D3
7:2.0, D5, B-4, G3, B-2
7:2.75, B-4, G4, NaN, NaN
8:0.0, A4, F4, C4, C3
8:0.5, NaN, NaN, B3, NaN
8:1.0, NaN, NaN, C4, NaN
8:1.5, NaN, NaN, B3, NaN
8:2.0, G4, E4, C4, NaN
9:0.0, F4, F4, F3, F3
9:1.5, G4, G4, G3, G3
9:1.75, F4, F4, F3, F3
9:2.0, E4, E4, E3, E3
9:2.5, F4, F4, F3, F3
10:0.0, C4, C4, C3, C3
10:1.0, Rest, Rest, Rest, Rest
10:2.0, Rest, Rest, Rest, Rest
11:0.0, F4, F4, F3, F3
11:1.5, G4, G4, G3, G3
11:1.75, F4, F4, F3, F3
11:2.0, E4, E4, E3, E3
11:2.5, F4, F4, F3, F3
12:0.0, D4, D4, D3, D3
12:1.0, Rest, Rest, Rest, Rest
12:2.0, Rest, Rest, Rest, Rest
13:0.0, F5, Rest, Rest, Rest
13:1.5, G5, NaN, NaN, NaN
13:1.75, F5, NaN, NaN, NaN
13:2.0, E5, NaN, NaN, NaN
13:2.5, F5, NaN, NaN, NaN
14:0.0, A5, NaN, NaN, NaN
14:1.0, NaN, E5, B-4, C#4
14:2.0, G5, NaN, NaN, NaN
15:0.0, G5, NaN, NaN, NaN
15:1.0, NaN, Rest, Rest, Rest
15:1.5, A5, NaN, NaN, NaN
15:1.75, G5, NaN, NaN, NaN
15:2.0, F#5, NaN, NaN, NaN
15:2.5, G5, NaN, NaN, NaN
16:0.0, B-5, NaN, NaN, NaN
16:2.0, A5, C5, E-5, F#4
17:0.0, A5, NaN, NaN, NaN
17:1.5, B-5, NaN, NaN, NaN
17:1.75, A5, NaN, NaN, NaN
17:2.0, G5, Rest, Rest, Rest
17:2.5, A5, NaN, NaN, NaN
18:0.0, C6, NaN, NaN, NaN
18:1.5, B-5, NaN, NaN, NaN
18:2.0, A5, NaN, NaN, NaN
18:2.5, G5, NaN, NaN, NaN
19:0.0, F5, E-5, F#4, B-3
19:1.5, NaN, D5, G4, B-3
19:2.0, A5, C5, A4, B-3
19:2.5, G5, B-4, B-4, B-3
20:0.0, F5, A4, C5, C4
20:1.0, Rest, NaN, NaN, NaN
20:2.0, Rest, C5, E4, C3
20:2.5, NaN, B-4, NaN, NaN
21:0.0, Rest, C4, G3, Rest
21:0.5, NaN, G4, E3, NaN
21:1.0, NaN, G4, E3, NaN
21:1.5, NaN, F4, F3, NaN
21:2.0, NaN, F4, F3, NaN
21:2.5, NaN, F4, B-3, NaN
22:0.0, NaN, F4, B-3, NaN
22:0.5, NaN, F4, A3, NaN
22:1.0, F5, F4, A3, Rest
22:1.5, NaN, C5, A4, NaN
22:2.0, NaN, C5, A4, NaN
22:2.5, G5, B-4, G4, NaN
22:2.75, F5, NaN, NaN, NaN
23:0.0, E5, B-4, G4, NaN
23:0.5, F5, G4, E4, NaN
23:1.0, Rest, G4, E4, NaN
23:2.0, NaN, Rest, Rest, Rest
24:0.0, NaN, D4, Rest, NaN
24:1.5, NaN, E-4, NaN, NaN
24:1.75, NaN, D4, NaN, NaN
24:2.0, G5, C#4, NaN, NaN
24:2.5, NaN, D4, NaN, NaN
25:0.0, NaN, F4, NaN, Rest
25:0.5, A5, NaN, NaN, NaN
25:0.75, G5, NaN, NaN, NaN
25:1.0, F#5, NaN, B-3, NaN
25:1.5, G5, NaN, NaN, NaN
25:2.0, Rest, E4, NaN, NaN
26:0.0, NaN, G4, NaN, NaN
26:1.0, NaN, NaN, Rest, C#3
26:1.5, NaN, A4, NaN, NaN
26:1.75, NaN, G4, NaN, NaN
26:2.0, NaN, F#4, NaN, NaN
26:2.5, NaN, G4, NaN, NaN
27:0.0, C6, B-4, NaN, NaN
27:1.0, NaN, NaN, NaN, Rest
27:1.5, D6, NaN, NaN, NaN
27:1.75, C6, NaN, NaN, NaN
27:2.0, B5, A4, E-4, NaN
27:2.5, C6, NaN, NaN, NaN
28:0.0, D6, C5, NaN, NaN
28:1.0, NaN, NaN, E-4, NaN
28:1.5, E-6, NaN, NaN, NaN
28:1.75, D6, NaN, NaN, NaN
28:2.0, C#6, B-4, F#4, F3
28:2.5, D6, NaN, NaN, NaN
29:0.0, E6, A4, NaN, NaN
29:0.5, NaN, G4, NaN, NaN
29:1.0, E6, A4, G4, F2
29:1.5, NaN, G4, NaN, NaN
29:2.0, E6, A4, B-3, B-3
29:2.5, NaN, G4, NaN, NaN
30:0.0, F6, F4, B-3, NaN
30:0.5, NaN, A3, NaN, NaN
30:1.0, Rest, A3, B-3, B-2
30:1.5, NaN, A3, NaN, NaN
30:2.0, Rest, A3, A3, C3
30:2.5, NaN, A3, C4, NaN
31:0.0, Rest, C4, C4, C3
31:0.5, NaN, NaN, C4, NaN
31:1.0, Rest, NaN, C4, C3
31:1.5, A4, NaN, C4, NaN
31:2.0, A4, NaN, E4, F2
